title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
Casino Royale,17/11/2006 (TR),76,Martin Campbell,,"Macera,Aksiyon,Gerilim",2h 24m,İngilizce,"$150,000,000.00","$599,045,960.00"
A Moroccan Affair,01/12/2023 (ES),60,Álvaro Fernández Armero,Daniel Castro,Komedi,1h 37m,İspanyolca; Kastilyaca,"$5,500,000.00","$10,950,000.00"
Ayı Kardeş,23/10/2003 (US),73,Robert Walker,,"Macera,Animasyon,Aile",1h 25m,İngilizce,"$128,000,000.00","$250,397,798.00"
Annie Hall,20/04/1977 (US),78,Woody Allen,Woody Allen,"Komedi,Dram,Romantik",1h 33m,İngilizce,"$4,000,000.00","$38,288,028.00"
Proje X,02/03/2012 (US),69,Nima Nourizadeh,,Komedi,1h 28m,İngilizce,"$12,000,000.00","$102,731,865.00"
Aşkın Büyüsü,16/10/1998 (US),68,Griffin Dunne,,"Romantik,Komedi,Fantastik",1h 44m,İngilizce,"$75,000,000.00","$46,733,235.00"
Transformers 4: Kayıp Çağ,27/06/2014 (TR),59,Michael Bay,Ehren Kruger,"Bilim-Kurgu,Aksiyon,Macera",2h 45m,İngilizce,"$210,000,000.00","$1,104,100,000.00"
SS Experiment Love Camp,16/11/1976 (IT),55,Sergio Garrone,Sergio Chiusi,"Korku,Savaş",1h 34m,İtalyanca,-,-
Zindanlar ve Ejderhalar: Hırsızlar Arasında Onur,31/03/2023 (US),74,Jonathan Goldstein,,"Macera,Fantastik,Komedi",2h 14m,İngilizce,"$151,000,000.00","$208,200,000.00"
Problemista,01/03/2024 (US),68,Julio Torres,Julio Torres,Komedi,1h 44m,İngilizce,-,"$385,720.00"
Zombieland,25/12/2009 (TR),73,Ruben Fleischer,Rhett Reese,"Komedi,Korku",1h 28m,İngilizce,"$23,600,000.00","$102,391,540.00"
Kar Küreyici,01/08/2013 (KR),69,Bong Joon-ho,,"Aksiyon,Bilim-Kurgu,Dram",2h 7m,Korece,"$39,200,000.00","$86,758,912.00"
Sarışın Bomba,28/07/2017 (TR),64,David Leitch,,"Aksiyon,Gerilim",1h 55m,İngilizce,"$30,000,000.00","$100,000,000.00"
,23/08/2002 (TR),65,Guillermo del Toro,David S. Goyer,"Fantastik,Korku,Aksiyon,Gerilim",1h 57m,İngilizce,"$54,000,000.00","$155,010,032.00"
Granit,29/12/2021 (RU),69,Denis Neimand,,"Aksiyon,Savaş",1h 40m,Rusça,-,-
Genç Deniz Canavarı Ruby,30/06/2023 (TR),73,Kirk DeMicco,Elliott DiGuiseppi,"Animasyon,Aile,Fantastik,Komedi",1h 31m,İngilizce,"$70,000,000.00","$45,000,000.00"
Korkunç Bir Film 2,09/11/2001 (TR),58,Keenen Ivory Wayans,,Komedi,1h 23m,İngilizce,"$45,000,000.00","$141,200,000.00"
Karanlıkla Karşı Karşıya,28/09/2018 (TR),75,Spike Lee,Spike Lee,"Komedi,Suç,Dram,Tarih",2h 8m,İngilizce,"$15,000,000.00","$93,411,426.00"
Mortal Kombat,31/12/2022 (TR),70,Simon McQuoid,,"Aksiyon,Fantastik,Macera",1h 50m,İngilizce,"$20,000,000.00","$84,426,031.00"
Herkül Özgürlük Savaşçısı,25/07/2014 (TR),58,Brett Ratner,,"Aksiyon,Macera",1h 38m,İngilizce,"$100,000,000.00","$244,819,862.00"
Uyuyan Güzel,23/04/1962 (TR),70,Clyde Geronimi,,"Fantastik,Animasyon,Romantik,Aile",1h 15m,İngilizce,"$6,000,000.00","$51,600,000.00"
Kötülük Pusuda Olduğunda,09/11/2023 (AR),74,Demián Rugna,Demián Rugna,"Korku,Gerilim",1h 39m,İspanyolca; Kastilyaca,-,"$1,743,976.00"
Kara Şövalye Yükseliyor,27/07/2012 (TR),78,Christopher Nolan,,"Aksiyon,Suç,Dram,Gerilim",2h 45m,İngilizce,"$250,000,000.00","$1,081,041,287.00"
Gece Yüzüşü,15/03/2024 (TR),57,Bryce McGuire,,"Korku,Gerilim",1h 38m,İngilizce,"$15,000,000.00","$54,075,969.00"
,05/04/2024 (TR),65,Philip Martin,Peter Moffat,Dram,1h 43m,İngilizce,-,-
Thor 2: Karanlık Dünya,08/11/2013 (TR),65,Alan Taylor,,"Aksiyon,Macera,Fantastik",1h 55m,İngilizce,"$170,000,000.00","$644,783,140.00"
Amerikan Pastası 3: Düğün,03/10/2003 (TR),62,Jesse Dylan,,"Komedi,Romantik",1h 43m,İngilizce,"$55,000,000.00","$231,449,203.00"
The Singing Nun,17/03/1966 (US),55,Henry Koster,"John Furia, Jr.","Müzik,Komedi,Dram,Aile",1h 37m,İngilizce,-,-
Keşif,20/01/2017 (US),63,Charlie McDowell,Charlie McDowell,"Dram,Romantik,Bilim-Kurgu,Gerilim,Gizem",1h 42m,İngilizce,-,-
Yıldız Savaşları: Bölüm VII - Güç Uyanıyor,17/12/2015 (TR),73,J.J. Abrams,Michael Arndt,"Macera,Aksiyon,Bilim-Kurgu",2h 21m,İngilizce,"$245,000,000.00","$2,068,223,624.00"
,13/10/2023 (PL),78,DK Welchman,DK Welchman,"Animasyon,Dram,Tarih",1h 55m,Lehçe,"$7,475,000.00","$9,811,169.00"
Suikast,26/08/2016 (US),60,Dennis Gansel,,"Aksiyon,Suç,Gerilim",1h 38m,İngilizce,"$40,000,000.00","$125,729,635.00"
Ölümsüz,23/03/2001 (TR),71,M. Night Shyamalan,M. Night Shyamalan,"Gerilim,Dram,Gizem",1h 46m,İngilizce,"$75,000,000.00","$248,100,000.00"
,19/02/2016 (US),70,Robert Eggers,Robert Eggers,"Korku,Gizem,Dram",1h 32m,İngilizce,"$3,500,000.00","$40,423,945.00"
Kötü Ruh,04/06/1982 (US),71,Tobe Hooper,,Korku,1h 54m,İngilizce,"$10,700,000.00","$122,200,000.00"
Silverado,10/07/1985 (US),70,Lawrence Kasdan,,"Vahşi Batı,Aksiyon",2h 13m,İngilizce,"$23,000,000.00","$32,200,000.00"
Belalı İkili,17/11/1995 (TR),68,Michael Bay,,"Aksiyon,Komedi,Suç,Gerilim",1h 59m,İngilizce,"$19,000,000.00","$141,400,000.00"
Tuzak,09/08/2024 (TR),0,M. Night Shyamalan,M. Night Shyamalan,Gerilim,1h 20m,İngilizce,-,-
Yıldırım Harekatı,28/12/1965 (GB),67,Terence Young,,"Macera,Aksiyon,Gerilim",2h 10m,İngilizce,"$5,500,000.00","$141,195,658.00"
Evde Tek Başına 2,19/11/1992 (US),67,Chris Columbus,,"Komedi,Aile,Macera",2h,İngilizce,"$18,000,000.00","$358,994,850.00"
Christopher Robin,03/08/2018 (TR),73,Marc Forster,,"Macera,Komedi,Aile,Fantastik",1h 44m,İngilizce,"$75,000,000.00","$99,138,899.00"
Kırmızı Başlıklı Kız,16/12/2005 (US),62,Todd Edwards,,"Animasyon,Komedi,Aile,Suç",1h 21m,İngilizce,"$8,000,000.00","$110,000,000.00"
Ölümcül Takip,29/05/2015 (US),57,James McTeigue,,"Aksiyon,Suç,Gizem,Gerilim",1h 36m,İngilizce,"$20,000,000.00",-
Ateş Serbest,21/04/2017 (US),63,Ben Wheatley,,"Aksiyon,Suç,Gizem",1h 30m,İngilizce,"$7,000,000.00","$3,719,383.00"
Kingsman: Gizli Servis,13/03/2015 (TR),76,Matthew Vaughn,Matthew Vaughn,"Suç,Komedi,Aksiyon,Macera",2h 9m,İngilizce,"$81,000,000.00","$414,351,546.00"
Sükûnet,25/01/2019 (US),55,Steven Knight,,"Gerilim,Gizem,Dram",1h 42m,İngilizce,"$25,000,000.00","$14,500,000.00"
,27/07/1984 (US),67,Albert Magnoli,Albert Magnoli,"Dram,Müzik,Romantik",1h 51m,İngilizce,"$7,200,000.00","$68,392,977.00"
Kill Bill: Vol. 1,02/01/2004 (TR),80,Quentin Tarantino,Quentin Tarantino,"Aksiyon,Suç",1h 51m,İngilizce,"$30,000,000.00","$180,906,076.00"
Durgun Su,10/09/2021 (TR),66,Tom McCarthy,Tom McCarthy,"Dram,Suç,Gerilim",2h 19m,İngilizce,"$20,000,000.00","$19,754,272.00"
Tatlı Bela,14/04/2000 (TR),74,Steven Soderbergh,Susannah Grant,Dram,2h 11m,İngilizce,"$52,000,000.00","$256,271,286.00"
Oyun Gecesi,23/03/2018 (TR),69,John Francis Daley,John Francis Daley,"Gizem,Komedi,Suç",1h 40m,İngilizce,"$37,000,000.00","$117,501,013.00"
The Colors of Fire,09/11/2022 (FR),69,Clovis Cornillac,Pierre Lemaitre,"Tarih,Dram",2h 15m,Fransızca,-,-
Pixels,14/08/2015 (TR),57,Chris Columbus,,"Aksiyon,Komedi,Bilim-Kurgu",1h 45m,İngilizce,"$88,000,000.00","$244,900,000.00"
,29/06/2012 (US),64,Seth MacFarlane,,"Komedi,Fantastik",1h 47m,İngilizce,"$50,000,000.00","$549,368,315.00"
Işıkyılı,17/06/2022 (TR),70,Angus MacLane,,"Animasyon,Bilim-Kurgu,Aile,Macera",1h 45m,İngilizce,"$200,000,000.00","$226,400,000.00"
Ant-Man ve Wasp: Quantumania,24/02/2023 (TR),64,Peyton Reed,Jeff Loveness,"Aksiyon,Macera,Bilim-Kurgu",2h 5m,İngilizce,"$200,000,000.00","$476,071,180.00"
Sihirli Ejder,11/06/2021 (US),79,Chris Appelhans,Chris Appelhans,"Animasyon,Aile,Komedi,Fantastik",1h 39m,İngilizce,-,"$25,860,000.00"
,26/03/1999 (US),60,Ron Howard,,Komedi,2h 2m,İngilizce,"$80,000,000.00",-
Canavar Ev,30/06/2006 (US),67,Gil Kenan,,"Animasyon,Komedi,Aile,Fantastik",1h 30m,İngilizce,"$75,000,000.00","$140,175,006.00"
İtaatsizlik,30/11/2018 (IE),69,Sebastián Lelio,Sebastián Lelio,"Dram,Romantik",1h 54m,İngilizce,"$6,000,000.00","$8,000,000.00"
Enigma,20/02/2015 (TR),80,Morten Tyldum,,"Tarih,Dram,Gerilim,Savaş",1h 53m,İngilizce,"$14,000,000.00","$233,600,000.00"
Neşeli Ayaklar,26/01/2007 (TR),62,George Miller,George Miller,"Animasyon,Komedi,Aile",1h 48m,İngilizce,"$100,000,000.00","$384,335,608.00"
Ben Hur,01/12/1960 (TR),79,William Wyler,,"Tarih,Dram,Macera,Aksiyon",3h 32m,İngilizce,"$15,000,000.00","$164,000,000.00"
"İyi, Kötü ve Çirkin",13/01/1969 (TR),85,Sergio Leone,,Vahşi Batı,2h 41m,İtalyanca,"$1,200,000.00","$38,900,000.00"
Goosebumps: Canavarlar Firarda,04/12/2015 (TR),63,Rob Letterman,,"Macera,Korku,Komedi",1h 43m,İngilizce,"$58,000,000.00","$158,200,000.00"
Dark Angel,28/09/1990 (US),60,Craig R. Baxley,Jonathan Tydor,"Aksiyon,Gerilim,Bilim-Kurgu,Suç,Korku",1h 31m,İngilizce,"$7,000,000.00","$9,200,000.00"
,23/01/2024 (US),63,Enzo Tedeschi,,"Gerilim,Korku,Aksiyon,Bilim-Kurgu,Dram",1h 34m,İngilizce,-,-
,24/10/1997 (TR),76,Andrew Niccol,Andrew Niccol,"Gerilim,Bilim-Kurgu,Gizem,Romantik",1h 46m,İngilizce,"$36,000,000.00","$12,532,777.00"
,18/04/2014 (US),61,Michael Tiddes,Rick Alvarez,"Komedi,Korku",1h 27m,İngilizce,"$4,000,000.00","$25,343,661.00"
Karanlık Zihinler,03/08/2018 (TR),70,Jennifer Yuh Nelson,Chad Hodge,"Aksiyon,Macera,Dram",1h 45m,İngilizce,"$34,000,000.00","$41,142,379.00"
Akıl Oyunları,08/03/2002 (TR),79,Ron Howard,Akiva Goldsman,"Dram,Romantik",2h 15m,İngilizce,"$58,000,000.00","$316,800,000.00"
Fear,27/01/2023 (US),54,Deon Taylor,Deon Taylor,"Korku,Dram",1h 38m,İngilizce,-,"$2,100,000.00"
Ella Enchanted,17/12/2004 (IE),64,Tommy O'Haver,,"Aile,Fantastik,Komedi",1h 36m,İngilizce,"$31,000,000.00","$27,400,000.00"
Çılgın Hırsız 2,11/10/2013 (TR),69,Chris Renaud,,"Animasyon,Komedi,Aile",1h 51m,İngilizce,"$76,000,000.00","$970,800,000.00"
,25/04/2014 (TR),65,Marc Webb,,"Aksiyon,Macera,Bilim-Kurgu",2h 21m,İngilizce,"$200,000,000.00","$708,962,323.00"
Siyah Giyen Adamlar,03/10/1997 (TR),72,Barry Sonnenfeld,,"Aksiyon,Macera,Komedi,Bilim-Kurgu",1h 38m,İngilizce,"$90,000,000.00","$589,400,000.00"
Diktatörlerle Görüşme,25/12/2014 (US),62,Seth Rogen,,"Aksiyon,Komedi",1h 52m,İngilizce,"$44,000,000.00","$12,342,632.00"
Paul,24/06/2011 (TR),67,Greg Mottola,Nick Frost,"Macera,Komedi,Bilim-Kurgu",1h 44m,İngilizce,"$40,000,000.00","$98,000,000.00"
Görünmeyen Tehlike,08/09/2000 (TR),59,Paul Verhoeven,,"Aksiyon,Bilim-Kurgu,Gerilim",1h 53m,İngilizce,"$95,000,000.00","$190,213,455.00"
Bulut Atlası,15/11/2012 (DE),69,Lilly Wachowski,,"Dram,Bilim-Kurgu",2h 52m,İngilizce,"$102,000,000.00","$130,482,868.00"
Galaksinin Koruyucuları 2,28/04/2017 (TR),76,James Gunn,James Gunn,"Bilim-Kurgu,Macera,Aksiyon",2h 17m,İngilizce,"$200,000,000.00","$863,756,051.00"
,10/10/2008 (TR),67,Ben Stiller,,"Aksiyon,Komedi,Macera,Savaş",1h 47m,İngilizce,"$92,000,000.00","$195,702,811.00"
Ahtapot,05/06/1983 (GB),63,John Glen,,"Macera,Aksiyon,Gerilim",2h 11m,İngilizce,"$27,500,000.00","$187,500,000.00"
Genghis Khan,28/04/2018 (CN),47,Hasi Chaolu,,"Fantastik,Aksiyon,Macera",1h 59m,Çince,-,-
Kırılma Noktası,12/07/1991 (US),72,Kathryn Bigelow,,"Aksiyon,Gerilim,Suç",2h 2m,İngilizce,"$24,000,000.00","$83,531,958.00"
Sürücü,10/02/2012 (TR),76,Nicolas Winding Refn,,"Dram,Gerilim,Suç",1h 40m,İngilizce,"$15,000,000.00","$78,100,000.00"
Şeytan,09/03/1981 (TR),77,William Friedkin,,"Korku,Gerilim,Dram",2h 2m,İngilizce,"$12,000,000.00","$441,400,000.00"
Oyunbozan Ralph,15/02/2013 (TR),73,Rich Moore,,"Aile,Animasyon,Komedi,Macera",1h 41m,İngilizce,"$165,000,000.00","$471,222,889.00"
Ferdinand,22/12/2017 (TR),72,Carlos Saldanha,,"Animasyon,Aile,Macera,Komedi",1h 47m,İngilizce,"$111,000,000.00","$295,038,508.00"
Dul Kadınlar,16/11/2018 (TR),65,Steve McQueen,,"Suç,Gerilim",2h 9m,İngilizce,"$42,000,000.00","$73,900,000.00"
Gece Gelen,24/08/2018 (TR),58,Trey Edward Shults,Trey Edward Shults,"Dram,Korku,Gizem",1h 31m,İngilizce,"$5,000,000.00","$19,280,931.00"
Diş Perisi,22/01/2010 (CA),55,Michael Lembeck,,"Komedi,Aile,Fantastik",1h 41m,İngilizce,"$48,000,000.00","$112,462,508.00"
Daire,30/01/2015 (US),64,Erik Van Looy,,Gerilim,1h 48m,İngilizce,"$14,000,000.00","$10,100,000.00"
Şirinler: Bir Yılbaşı Şarkısı,02/12/2011 (US),67,Troy Quane,Todd Berger,"Komedi,Aile,Animasyon",22m,İngilizce,-,-
Yok Oluş,12/03/2018 (TR),64,Alex Garland,,"Bilim-Kurgu,Korku",1h 55m,İngilizce,"$40,000,000.00","$43,070,915.00"
Antlaşma,28/04/2023 (TR),78,Guy Ritchie,,"Savaş,Aksiyon,Gerilim",2h 5m,İngilizce,"$55,000,000.00","$20,000,000.00"
Mad Max,12/04/1979 (AU),67,George Miller,,"Macera,Aksiyon,Gerilim,Bilim-Kurgu",1h 31m,İngilizce,"$350,000.00","$100,000,000.00"
Ölümcül Makineler,07/12/2018 (TR),62,Christian Rivers,,"Macera,Bilim-Kurgu",2h 9m,İngilizce,"$100,000,000.00","$83,869,818.00"
Pasifik Savaşı,12/07/2013 (US),69,Guillermo del Toro,,"Aksiyon,Bilim-Kurgu,Macera",2h 11m,İngilizce,"$180,000,000.00","$411,000,000.00"
Hancock,01/07/2008 (US),63,Peter Berg,,"Fantastik,Aksiyon",1h 32m,İngilizce,"$150,000,000.00","$629,400,000.00"
Sicario: Askerin Günü,29/06/2018 (TR),69,Stefano Sollima,Taylor Sheridan,"Aksiyon,Suç,Gerilim",2h 2m,İngilizce,"$35,000,000.00","$75,836,683.00"
,01/10/1984 (TR),84,Sergio Leone,,"Dram,Suç",4h 11m,İngilizce,"$30,000,000.00","$5,500,000.00"
Tetikçi,31/08/2006 (US),67,Brian Taylor,,"Aksiyon,Gerilim,Suç",1h 27m,İngilizce,"$12,000,000.00","$42,900,000.00"
Alacakaranlık Efsanesi: Yeni Ay,20/11/2009 (TR),60,Chris Weitz,,"Macera,Fantastik,Dram,Romantik",2h 11m,İngilizce,"$50,000,000.00","$709,827,462.00"
,16/09/2005 (GB),81,Joe Wright,,"Dram,Romantik",2h 7m,İngilizce,"$28,000,000.00","$121,600,000.00"
,26/04/2024 (US),67,Anjali Nayar,,Belgesel,1h 19m,İngilizce,-,-
Testere 3,03/11/2006 (TR),64,Darren Lynn Bousman,,"Korku,Gerilim,Suç",1h 48m,İngilizce,"$10,000,000.00","$164,876,498.00"
Ay Savaşçısı Güzel Koruyucu Kosmik Uzayın Derinlikleri Film Part 1,09/06/2023 (JP),67,Tomomi Ikeda,,Animasyon,1h 20m,Japonca,-,-
In the Land of Saints and Sinners,29/03/2024 (US),65,Robert Lorenz,Terry Loane,"Aksiyon,Gerilim",1h 46m,İngilizce,-,-
Prens,22/08/2014 (US),49,Brian A. Miller,,"Gerilim,Aksiyon",1h 33m,İngilizce,"$18,000,000.00","$1,289,595.00"
The Roundup: Punishment,24/04/2024 (KR),84,Heo Myeong-haeng,Oh Sang-ho,"Suç,Aksiyon,Dram",1h 49m,Korece,-,-
,10/12/2004 (TR),56,Tim Story,,"Aksiyon,Komedi,Gerilim,Suç",1h 37m,İngilizce,"$25,000,000.00","$71,255,003.00"
Dağcı,28/05/1993 (US),65,Renny Harlin,,"Aksiyon,Macera,Gerilim",1h 53m,İngilizce,"$70,000,000.00","$255,000,211.00"
Tavuklar Firarda,23/06/2000 (US),68,Peter Lord,,"Animasyon,Komedi,Aile",1h 24m,İngilizce,"$45,000,000.00","$224,834,564.00"
Bolt,26/12/2008 (TR),65,Chris Williams,,"Animasyon,Aile,Macera,Komedi",1h 36m,İngilizce,"$150,000,000.00","$309,979,994.00"
,19/10/2018 (TR),70,Damien Chazelle,,"Tarih,Dram",2h 21m,İngilizce,"$70,000,000.00","$105,713,218.00"
"Son's Girlfriend, Daddy's Girlfriend",13/11/2020 (KR),0,Joo Hyun-il,,Romantik,1h 15m,Korece,-,-
,28/10/2022 (NO),61,Alex Herron,Thomas Moldestad,"Korku,Gerilim",1h 46m,Norveççe,"$1,958,878.00",-
Labirent  Son İsyan,26/01/2018 (TR),71,Wes Ball,,"Bilim-Kurgu,Aksiyon,Macera,Gerilim",2h 23m,İngilizce,"$62,000,000.00","$288,175,335.00"
Dodsworth,23/09/1936 (US),71,William Wyler,,"Dram,Romantik",1h 41m,İngilizce,-,-
Korku Seansı 2,10/06/2016 (TR),73,James Wan,,Korku,2h 14m,İngilizce,"$40,000,000.00","$321,800,000.00"
,17/10/2008 (TR),63,Paul W. S. Anderson,,"Aksiyon,Gerilim,Bilim-Kurgu",1h 45m,İngilizce,"$45,000,000.00","$76,000,000.00"
Günışığında Suikast,29/06/1987 (US),65,John Glen,,"Aksiyon,Macera,Gerilim",2h 10m,İngilizce,"$40,000,000.00","$191,185,897.00"
Humane,26/04/2024 (CA),54,Caitlin Cronenberg,Michael Sparaga,"Gerilim,Korku,Bilim-Kurgu",1h 33m,İngilizce,-,-
Çizgi Ötesi,29/09/2017 (US),57,Niels Arden Oplev,,"Dram,Korku,Gerilim",1h 51m,İngilizce,"$19,000,000.00","$45,200,000.00"
Korku Kapanı,05/09/2003 (TR),63,Rob Schmidt,,"Korku,Gerilim",1h 24m,İngilizce,"$12,600,000.00","$28,650,575.00"
Alice Harikalar Diyarında,05/03/2010 (TR),66,Tim Burton,,"Aile,Fantastik,Macera",1h 48m,İngilizce,"$200,000,000.00","$1,025,467,110.00"
Otel Transilvanya 3: Canavarlar Tatilde,30/06/2018 (US),69,Genndy Tartakovsky,Genndy Tartakovsky,"Animasyon,Komedi,Aile,Fantastik",1h 37m,İngilizce,"$80,000,000.00","$528,600,000.00"
,18/05/2007 (TR),75,David Fincher,,"Suç,Dram,Gizem,Gerilim",2h 37m,İngilizce,"$65,000,000.00","$84,785,914.00"
Cephede Eğlence,18/02/1970 (US),70,Robert Altman,,"Komedi,Dram,Savaş",1h 56m,İngilizce,"$3,500,000.00","$81,600,000.00"
,31/03/2017 (US),61,Rupert Sanders,,"Bilim-Kurgu,Dram,Aksiyon",1h 47m,İngilizce,"$110,000,000.00","$169,801,921.00"
,27/06/2013 (GB),62,Steven Knight,,"Aksiyon,Gerilim",1h 40m,İngilizce,"$20,000,000.00","$8,352,885.00"
Reign of Chaos,12/04/2022 (GB),56,Becca Hirani,Tom Jolliffe,"Aksiyon,Korku,Fantastik",1h 17m,İngilizce,"$10,000.00",$100.00
Vampir İmparatorluğu,05/03/2010 (TR),63,Peter Spierig,,"Aksiyon,Fantastik,Bilim-Kurgu",1h 38m,İngilizce,"$20,000,000.00","$51,417,188.00"
Temel İçgüdü,27/11/1992 (TR),69,Paul Verhoeven,,"Gerilim,Gizem",2h 7m,İngilizce,"$49,000,000.00","$352,927,224.00"
Prenses Mononoke,12/07/1997 (JP),83,Hayao Miyazaki,Hayao Miyazaki,"Macera,Fantastik,Animasyon",2h 14m,Japonca,"$23,500,000.00","$169,000,000.00"
Büyükler 2,12/07/2013 (US),61,Dennis Dugan,Fred Wolf,Komedi,1h 41m,İngilizce,"$80,000,000.00","$247,022,278.00"
Apokalipto,08/12/2006 (US),76,Mel Gibson,Mel Gibson,"Aksiyon,Dram,Tarih",2h 19m,İngilizce,"$40,000,000.00","$120,700,000.00"
Sihirbazlar Çetesi,31/05/2013 (TR),73,Louis Leterrier,,"Gerilim,Suç",1h 55m,İngilizce,"$75,000,000.00","$351,700,000.00"
48 Saat,07/12/1982 (US),67,Walter Hill,Walter Hill,"Gerilim,Aksiyon,Komedi,Suç,Dram",1h 36m,İngilizce,"$12,000,000.00","$78,868,508.00"
Richard Jewell,13/12/2019 (US),74,Clint Eastwood,,Dram,2h 11m,İngilizce,"$45,000,000.00","$33,900,000.00"
Tehdit,10/03/1995 (US),65,Wolfgang Petersen,,"Aksiyon,Dram,Bilim-Kurgu,Gerilim",2h 7m,İngilizce,"$50,000,000.00","$189,900,000.00"
Confessions of a Frustrated Housewife,04/08/1976 (IT),70,Andrea Bianchi,,Dram,1h 32m,İtalyanca,-,-
N.W.A’in Öyküsü,11/08/2015 (US),78,F. Gary Gray,,"Dram,Müzik,Tarih",2h 27m,İngilizce,"$28,000,000.00","$201,600,000.00"
Kolombiyalı: İntikam Meleği,26/08/2011 (TR),66,Olivier Megaton,,"Aksiyon,Gerilim,Suç,Dram",1h 48m,İngilizce,"$40,000,000.00","$71,508,440.00"
,02/07/2010 (TR),78,Lee Unkrich,,"Animasyon,Aile,Komedi",1h 43m,İngilizce,"$200,000,000.00","$1,067,316,101.00"
Jujutsu Kaisen 0,13/05/2022 (TR),82,Sunghoo Park,,"Animasyon,Aksiyon,Fantastik",1h 45m,Japonca,-,"$195,870,885.00"
Ordinary Angels,23/02/2024 (US),76,Jon Gunn,,Dram,1h 58m,İngilizce,"$13,000,000.00","$16,143,032.00"
Senin Adın,26/08/2016 (JP),85,Makoto Shinkai,,"Animasyon,Romantik,Dram",1h 46m,Japonca,-,"$358,000,000.00"
Indiana Jones: Kutsal Hazine Avcıları,24/01/1983 (TR),79,Steven Spielberg,,"Macera,Aksiyon",1h 55m,İngilizce,"$18,000,000.00","$389,925,971.00"
Kıyamet,08/08/2008 (TR),83,Francis Ford Coppola,Francis Ford Coppola,"Dram,Savaş",3h 1m,İngilizce,"$31,500,000.00","$150,000,000.00"
Click,23/06/2006 (US),63,Frank Coraci,Steve Koren,"Komedi,Dram,Fantastik",1h 47m,İngilizce,"$82,500,000.00","$240,685,326.00"
Lego Batman Filmi,10/02/2017 (TR),72,Chris McKay,,"Animasyon,Aksiyon,Komedi,Aile",1h 44m,İngilizce,"$80,000,000.00","$311,950,384.00"
Tetris,31/03/2023 (GB),77,Jon S. Baird,Noah Pink,"Gerilim,Tarih,Dram",1h 57m,İngilizce,-,-
,10/07/1992 (US),63,Roland Emmerich,,"Gerilim,Aksiyon,Bilim-Kurgu,Suç",1h 42m,İngilizce,"$23,000,000.00","$95,000,000.00"
All the Names of God,15/09/2023 (ES),64,Daniel Calparsoro,,"Dram,Aksiyon,Gerilim",1h 45m,İspanyolca; Kastilyaca,-,-
The Greatest Hits,12/04/2024 (TR),66,Ned Benson,Ned Benson,"Dram,Müzik,Romantik",1h 34m,İngilizce,-,-
Shirley Chisholm: Beyaz Saray'a Aday,22/03/2024 (TR),68,John Ridley,John Ridley,"Tarih,Dram",1h 57m,İngilizce,-,-
Doctor Dolittle,19/12/1967 (US),61,Richard Fleischer,,"Müzik,Aile,Komedi,Fantastik",2h 32m,İngilizce,"$18,000,000.00","$9,000,000.00"
Gremlinler,08/06/1984 (TR),71,Joe Dante,Chris Columbus,"Fantastik,Korku,Komedi",1h 46m,İngilizce,"$11,000,000.00","$153,083,102.00"
How to Survive Without Mum,12/04/2023 (FR),49,Ludovic Bernard,Ludovic Bernard,Komedi,1h 36m,Fransızca,-,-
Ölüm Sessizliği,16/03/2007 (US),64,James Wan,James Wan,Korku,1h 29m,İngilizce,"$20,000,000.00","$22,217,407.00"
Yeti Efsanesi,27/09/2019 (US),75,Jill Culton,Jill Culton,"Aile,Animasyon,Macera,Komedi",1h 37m,İngilizce,"$75,000,000.00","$190,304,772.00"
,22/09/2016 (US),71,Todor Chapkanov,David N. White,"Aksiyon,Dram",1h 27m,İngilizce,-,"$413,334.00"
Geçmişin Gölgesinde,09/04/1999 (TR),83,Tony Kaye,,Dram,1h 59m,İngilizce,"$20,000,000.00","$23,900,000.00"
Sıkıysa Yakala,31/01/2003 (TR),80,Steven Spielberg,,"Dram,Suç",3h 10m,İngilizce,"$52,000,000.00","$352,114,312.00"
Penceremden 2: Aramızdaki Deniz,23/06/2023 (TR),65,Marçal Forés,,"Romantik,Dram,Komedi",1h 51m,İspanyolca; Kastilyaca,-,-
Ejder Topu Z: Bardock - goku ' nun Babası,17/10/1990 (JP),75,Mitsuo Hashimoto,Katsuyuki Sumisawa,"Animasyon,Aksiyon,Bilim-Kurgu,Dram,Fantastik",48m,Japonca,-,-
Hayata Röveşata Çeken Adam,03/03/2023 (TR),78,Marc Forster,,"Komedi,Dram",2h 6m,İngilizce,"$50,000,000.00","$108,961,677.00"
Tavşan Jojo,31/01/2020 (TR),80,Taika Waititi,,"Komedi,Savaş,Dram",1h 48m,İngilizce,"$14,000,000.00","$82,468,705.00"
,20/05/2016 (US),71,Shane Black,Shane Black,"Komedi,Suç,Aksiyon",1h 56m,İngilizce,"$50,000,000.00","$62,800,000.00"
John Wick: Bölüm 3 - Parabellum,16/05/2019 (TR),74,Chad Stahelski,,"Aksiyon,Gerilim,Suç",2h 11m,İngilizce,"$55,000,000.00","$326,709,727.00"
,04/12/1992 (TR),79,Clint Eastwood,,Vahşi Batı,2h 10m,İngilizce,"$14,400,000.00","$159,157,447.00"
,18/06/2010 (US),49,Jimmy Hayward,,"Aksiyon,Vahşi Batı,Dram,Fantastik,Gerilim",1h 21m,İngilizce,"$47,000,000.00","$10,539,000.00"
